"writer","pony","per_thousand_lines","times"
"Meghan McCarthy","Princess Celestia",0.0189157236953217,26
"Josh Haber","Princess Celestia",0.00500341141687514,22
"M. A. Larson","Princess Celestia",0.0142497904442582,18
"Amy Keating Rogers","Princess Celestia",0.0040045766590389,17
"Dave Polsky","Princess Celestia",0.00269996625042187,14
"Michael Vogel","Princess Celestia",0.00572987721691678,12
"Cindy Morrow","Princess Celestia",0.00092038656235619,11
"Nick Confalone","Princess Celestia",0.00163576881134133,9
"Joanna Lewis & Kristine Songco","Princess Celestia",0.0385224274406332,9
"Charlotte Fullerton","Princess Celestia",0.0145593869731801,7
"Merriwether Williams","Princess Celestia",0,7
"Nicole Dubuc","Princess Celestia",0.0174418604651163,7
"Michael P. Fox & Wil Fox","Princess Celestia",0,6
"Gillian M. Berrow","Princess Celestia",0,5
"Scott Sonneborn","Princess Celestia",0,5
"Josh Hamilton","Princess Celestia",0,4
"Natasha Levinger","Princess Celestia",0.00736196319018405,4
"Corey Powell","Princess Celestia",0,4
"Dave Rapp","Princess Celestia",0,4
"Ed Valentine","Princess Celestia",0,4
"Jayson Thiessen","Princess Celestia",0.00547945205479452,4
"Kevin Lappin","Princess Celestia",0,3
"Lauren Faust","Princess Celestia",0.0130081300813008,3
"Neal Dusedau","Princess Celestia",0.00343053173241852,3
"Jim Miller","Princess Celestia",0.00731261425959781,3
"Kevin Burke & Chris ""Doc"" Wyatt","Princess Celestia",0,3
"Meghan McCarthy","Princess Luna",0.00624894443506164,26
"Josh Haber","Princess Luna",0.00705026154196043,22
"M. A. Larson","Princess Luna",0.0128527521654093,18
"Amy Keating Rogers","Princess Luna",0,17
"Dave Polsky","Princess Luna",0.00269996625042187,14
"Michael Vogel","Princess Luna",0.00463847203274216,12
"Cindy Morrow","Princess Luna",0,11
"Nick Confalone","Princess Luna",0,9
"Joanna Lewis & Kristine Songco","Princess Luna",0.024802110817942,9
"Charlotte Fullerton","Princess Luna",0,7
"Merriwether Williams","Princess Luna",0,7
"Nicole Dubuc","Princess Luna",0.00516795865633075,7
"Michael P. Fox & Wil Fox","Princess Luna",0,6
"Gillian M. Berrow","Princess Luna",0,5
"Scott Sonneborn","Princess Luna",0.0390625,5
"Josh Hamilton","Princess Luna",0,4
"Natasha Levinger","Princess Luna",0,4
"Corey Powell","Princess Luna",0.0108695652173913,4
"Dave Rapp","Princess Luna",0,4
"Ed Valentine","Princess Luna",0,4
"Jayson Thiessen","Princess Luna",0.0493150684931507,4
"Kevin Lappin","Princess Luna",0,3
"Lauren Faust","Princess Luna",0.0032520325203252,3
"Neal Dusedau","Princess Luna",0.00171526586620926,3
"Jim Miller","Princess Luna",0.0658135283363803,3
"Kevin Burke & Chris ""Doc"" Wyatt","Princess Luna",0,3
"Meghan McCarthy","Spike",0.0515115689917244,26
"Josh Haber","Spike",0.07959972708665,22
"M. A. Larson","Spike",0.0583962000558815,18
"Amy Keating Rogers","Spike",0.0451945080091533,17
"Dave Polsky","Spike",0.0901113736078299,14
"Michael Vogel","Spike",0.0507503410641201,12
"Cindy Morrow","Spike",0.0690289921767142,11
"Nick Confalone","Spike",0.0659760087241003,9
"Joanna Lewis & Kristine Songco","Spike",0.0696569920844327,9
"Charlotte Fullerton","Spike",0.0206896551724138,7
"Merriwether Williams","Spike",0.143484626647145,7
"Nicole Dubuc","Spike",0.0555555555555556,7
"Michael P. Fox & Wil Fox","Spike",0.0424808836023789,6
"Gillian M. Berrow","Spike",0.00313479623824451,5
"Scott Sonneborn","Spike",0.0234375,5
"Josh Hamilton","Spike",0.0906862745098039,4
"Natasha Levinger","Spike",0.0220858895705521,4
"Corey Powell","Spike",0.192028985507246,4
"Dave Rapp","Spike",0.0115473441108545,4
"Ed Valentine","Spike",0.00258732212160414,4
"Jayson Thiessen","Spike",0.135616438356164,4
"Kevin Lappin","Spike",0.00750750750750751,3
"Lauren Faust","Spike",0.130081300813008,3
"Neal Dusedau","Spike",0.20926243567753,3
"Jim Miller","Spike",0.177330895795247,3
"Kevin Burke & Chris ""Doc"" Wyatt","Spike",0.155887230514096,3
"Meghan McCarthy","CMC",0.0743117716601925,26
"Josh Haber","CMC",0.107345917671139,22
"M. A. Larson","CMC",0.0561609388097234,18
"Amy Keating Rogers","CMC",0.0549199084668192,17
"Dave Polsky","CMC",0.167060411744853,14
"Michael Vogel","CMC",0.0251023192360164,12
"Cindy Morrow","CMC",0.233778186838472,11
"Nick Confalone","CMC",0.0567066521264995,9
"Joanna Lewis & Kristine Songco","CMC",0.0168865435356201,9
"Charlotte Fullerton","CMC",0.000766283524904215,7
"Merriwether Williams","CMC",0.0109809663250366,7
"Nicole Dubuc","CMC",0.0717054263565891,7
"Michael P. Fox & Wil Fox","CMC",0.0858113848768054,6
"Gillian M. Berrow","CMC",0.00835945663531871,5
"Scott Sonneborn","CMC",0.0859375,5
"Josh Hamilton","CMC",0.0857843137254902,4
"Natasha Levinger","CMC",0.0392638036809816,4
"Corey Powell","CMC",0.178743961352657,4
"Dave Rapp","CMC",0.0311778290993072,4
"Ed Valentine","CMC",0.421733505821475,4
"Jayson Thiessen","CMC",0,4
"Kevin Lappin","CMC",0.0045045045045045,3
"Lauren Faust","CMC",0.0016260162601626,3
"Neal Dusedau","CMC",0,3
"Jim Miller","CMC",0,3
"Kevin Burke & Chris ""Doc"" Wyatt","CMC",0,3
