"title","song","Length"
"Friendship is Magic, part 2","Laughter Song(International)","1:08"
"The Ticket Master","Pinkie's Gala Fantasy Song(International)","0:40"
"The Ticket Master","The Ticket Song(International)","0:16"
"Dragonshy","Hop Skip and Jump song[note 1](International)","0:20"
"Bridle Gossip","Evil Enchantress song[note 1](International)","0:13, 0:20"
"Winter Wrap Up","Winter Wrap Up(International)","3:18"
"Call of the Cutie","Cupcake Song(International)","0:24"
"Suited For Success","Art of the Dress(International)","1:43, 2:30"
"Stare Master","Hush Now Lullaby(International)","0:12, 0:30"
"The Show Stoppers","Cutie Mark Crusaders Song(International)","2:16"
"Over a Barrel","You Got to Share, You Got to Care(International)","1:11"
"The Cutie Mark Chronicles","So Many Wonders(International)","1:11"
"Party of One","Pinkie Pie's Singing Telegram(International)","0:39"
"The Best Night Ever","At the Gala(International)","3:18"
"The Best Night Ever","I'm at the Grand Galloping Gala[note 1](International)","0:25"
"The Best Night Ever","Pony Pokey[note 1](International)","1:24"
"May the Best Pet Win!","Find A Pet Song(International)","3:40"
"Sweet and Elite","Becoming Popular (The Pony Everypony Should Know)(International)","1:48"
"Hearth's Warming Eve","The Heart Carol(International)","0:38"
"Baby Cakes","Happy Monthiversary(International)","0:14"
"Baby Cakes","Piggy Dance(International)","0:27"
"The Super Speedy Cider Squeezy 6000","The Flim Flam Brothers(International)","3:50"
"Hearts and Hooves Day","The Perfect Stallion(International)","1:34"
"A Friend in Deed","Smile Song(International)","3:22"
"A Friend in Deed","Cranky Doodle Donkey(International)","0:11"
"A Friend in Deed","Welcome Song(International)","0:22"
"A Friend in Deed","Cranky Doodle Joy(International)","0:35"
"A Canterlot Wedding - Part 1","B.B.B.F.F.(International)","1:35, 0:18 (reprise)"
"A Canterlot Wedding - Part 2","This Day Aria, Part 1(International)","2:12"
"A Canterlot Wedding - Part 2","This Day Aria, Part 2(International)","0:24"
"A Canterlot Wedding - Part 2","Love Is In Bloom(International)","1:50"
"The Crystal Empire - Part 1","The Failure Song(International)","1:44"
"The Crystal Empire - Part 1","The Ballad of the Crystal Empire(International)","1:33"
"The Crystal Empire - Part 2","The Success Song(International)","1:06"
"One Bad Apple","Babs Seed(International)","1:49"
"Apple Family Reunion","Raise This Barn(International)","2:12"
"Magical Mystery Cure","Morning in Ponyville(International)","0:56"
"Magical Mystery Cure","What My Cutie Mark Is Telling Me(International)","1:55"
"Magical Mystery Cure","I've Got to Find a Way(International)","1:06"
"Magical Mystery Cure","A True, True Friend(International)","3:28"
"Magical Mystery Cure","Celestia's Ballad(International)","1:42"
"Magical Mystery Cure","Behold, Princess Twilight Sparkle(International)","0:35"
"Magical Mystery Cure","Life in Equestria(International)","0:42"
"Flight to the Finish","Hearts Strong as Horses(International)","2:00, 0:59 (reprise)"
"Bats!","Bats(International)","2:19"
"Rarity Takes Manehattan","Generosity(International)","2:28, 0:48 (reprise)"
"Pinkie Apple Pie","Apples to the Core(International)","2:07, 0:20 (reprise)"
"Three's A Crowd","Glass of Water(International)","1:53"
"Pinkie Pride","Pinkie the Party Planner(International)","1:57, 0:19 (reprise)"
"Pinkie Pride","The Super Duper Party Pony(International)","1:45"
"Pinkie Pride","Pinkie's Lament(International)","2:28"
"Pinkie Pride","The Goof Off(International)","1:46"
"Pinkie Pride","Cheese Confesses(International)","1:17"
"Pinkie Pride","Make a Wish(International)","0:55"
"Filli Vanilli","Music in the Treetops(International)","0:58"
"Filli Vanilli","Find the Music in You(International)","0:28 (rehearsal), 1:07 (performance), 0:42 (reprise)"
"Leap of Faith","Flim Flam Miracle Curative Tonic(International)","3:37"
"Testing Testing 1, 2, 3","The rappin' Hist'ry of the Wonderbolts[note 1](International)","0:40"
"Twilight's Kingdom - Part 1","You'll Play Your Part(International)","3:00"
"Twilight's Kingdom - Part 2","Let the Rainbow Remind You(International)","1:16"
"The Cutie Map - Part 1","In Our Town(International)","2:22"
"Castle Sweet Castle","Make This Castle A Home(International)","2:35, 0:40 (reprise)"
"Tanks for the Memories","I'll Fly(International)","2:39"
"Canterlot Boutique","Rules of Rarity(International)","2:26, 0:36 (reprise 1), 0:24 (reprise 2)"
"Brotherhooves Social","Sisterhood(International)","1:06"
"Crusaders of the Lost Mark","We'll Make Our Mark (Prelude)(International)","0:41"
"Crusaders of the Lost Mark","The Vote(International)","3:05"
"Crusaders of the Lost Mark","The Pony I Want to Be(International)","1:39"
"Crusaders of the Lost Mark","Light of Your Cutie Mark(International)","1:55"
"Crusaders of the Lost Mark","The Pony I Want to Be (Reprise)(International)","1:22"
"Crusaders of the Lost Mark","We'll Make Our Mark(International)","2:36"
"The Mane Attraction","Equestria, the Land I Love(International)","0:34"
"The Mane Attraction","The Spectacle(International)","1:04"
"The Mane Attraction","The Magic Inside(International)","2:18"
"The Mane Attraction","Equestria, the Land I Love (Reprise)(International)","0:33"
"The Cutie Re-Mark - Part 2","Friends Are Always There For You (International)","2:11"
"On Your Marks","Out On My Own(International)","2:07"
"A Hearth's Warming Tail","Hearth's Warming Eve Is Here Once Again(International)","1:37"
"A Hearth's Warming Tail","Say Goodbye to the Holiday(International)","2:09"
"A Hearth's Warming Tail","The Seeds of the Past (part 1 & 2)(International)","1:05 (part 1), 0:58 (part 2)"
"A Hearth's Warming Tail","Pinkie's Present(International)","1:47"
"A Hearth's Warming Tail","Luna's Future(International)","1:35"
"A Hearth's Warming Tail","Hearth's Warming Eve Is Here Once Again (Reprise)(International)","1:04"
"Flutter Brutter","Can I Do It On My Own(International)","2:03"
"Spice Up Your Life","It's Gonna Work(International)","2:24"
"The Cart Before the Ponies","Derby Racers(International)","2:05"
"The Times They Are A Changeling","A Changeling Can Change(International)","2:27"
"The Fault in Our Cutie Marks","Find the Purpose in Your Life(International)","2:22"
"All Bottled Up","Best Friends Until the End of Time(International)","1:56"
"Hard to Say Anything","Battle for Sugar Belle(International)","3:13"
"The Perfect Pear","You're In My Head Like a Catchy Song(International)","1:35"
"Fame and Misfortune","Flawless(International)","2:16"
"Marks and Recreation","Blank Flanks Forever(International)","2:22"
"School Daze - Part 1","School of Friendship(International)","2:31"
"School Daze - Part 2","Friendship Always Wins(International)","2:07"
"Surf and/or Turf","Your Heart Is in Two Places(International)","2:11"
"Friendship University","Friendship U(International)","2:23"
"Road to Friendship","We're Friendship Bound(International)","1:54"
"Sounds of Silence","A Kirin Tale(International)","3:08, 0:36 (reprise)"
"Father Knows Beast","Just Can't Be a Dragon Here(International)","2:25"
"My Little Pony Best Gift Ever","One More Day(International)","3:02"
"My Little Pony Best Gift Ever","The True Gift of Gifting(International)","3:00"
